key,ca,es,en
MENU_WARN,ADVERTÈNCIA\nAquest joc conté llums intermitents.\nVols apagar-les?,ADVERTENCIA\nEste juego contiene luces parpadeantes.\n¿Quieres apagarlas?,WARNING\nThis game contains flashing lights.\nDo you want to turn them off?
BUTTON_YES,Sí,Sí,Yes
BUTTON_NO,No,No,No
MENU_PLAY,Jugar,Jugar,Play
MENU_STORY,Història,Historia,Story
MENU_OPTIONS,Opcions,Opciones,Options
MENU_EXTRAS,Extres,Extras,Extras
SEL_CHAR,Selecciona un personatge,Selecciona un personaje,Select your character
SKIP_TUTORIAL,Vols saltar-te el tutorial?,¿Quieres saltarte el tutorial?,Do you want to skip the tutorial?
MENU_CREDITS,CRÈDITS,CRÉDITOS,CREDITS
MENU_LV_SELECT,SELECTOR DE NIVELL,SELECTOR DE NIVEL,LEVEL SELECT
LV1,NIVELL 1,NIVEL 1,LEVEL 1
LV2,NIVELL 2,NIVEL 2,LEVEL 2
LV3,NIVELL 3,NIVEL 3,LEVEL 3
OPT_LAN,Llenguatge,Idioma,Language
LAN_EN,Anglès,Inglés,English
LAN_ES,Castellà,Castellano,Spanish
LAN_CA,Català,Catalán,Catalan
OPT_RES,Resolució,Resolución,Resolution
OPT_FLASH,Llums intermitents,Luces parpadeantes,Flashing lights
OPT_FS,Finestra completa,Pantalla completa,Fullsceen
OPT_VG,Volum (General),Volumen (General),Volume (General)
OPT_VM,Volum (Música),Volumen (Música),Volume (Music)
OPT_VSFX,Volum (SFX),Volumen (SFX),Volume (SFX)
BUTTON_RETURN_MENU,Tornar\nal menú,Volver\nal menú,Return\nto menu
LV_BEATEN,NIVELL COMPLETAT,NIVEL COMPLETADO,LEVEL COMPLETED
GAME_OVER,FI DEL JOC,FIN DEL JUEGO,GAME OVER
FS_THANKYOU,Gràcies per jugar!,¡Gracias por jugar!,Thanks for playing!
FS_CREDS,Videojoc desenvolupat\nper Sonitr43\n\n- Programació\n- Idees\n- Art\n- Història,Videojuego desarrollado\npor Sonitr43\n\n- Programación\n- Ideas\n- Arte\n- Historia,Videogame developed\nby Sonitr43\n\n- Coding\n- Ideas\n- Art\n- Story
FS_BASED_ON,Basat en la sèrie,Basado en la serie,Based on the show
FS_CREDS_DM,Sistema de diàlegs\nper Nathan Hoad,Sistema de diálogos\npor Nathan Hoad,Dialogue Manager\nby Nathan Hoad
STORY_TXT,"(La història d'aquest joc és una versió alterna del primer episodi de The Wonderfully Weird World of Gumball. Per entedre-la, és recommenable veure l'episodi.)\n\nLa trama de l'episodi transcorre com l'original fins que Gumball i Darwin tenen l'idea de plantar llavors de fruites i verdures al seu jardí per conseguir menjar.\n\nQuan ja han brotat els aliments i la seva recerca per trovar menjar semblava ja finalitzada, just apareix Larry i ho incinera tot. Confosos, els germans li qüestionen perquè ha fet això, i en Larry els diu que el seu cap, en Sr. Bilderburger, és propietari dels drets de les llavors que han plantat.\nEn un brot d’ira, en Gumball li diu que vol “parlar” amb el seu cap, i en Darwin s’apunta. Larry els adverteix que no seria una bona idea fer-ho per què la seu de Joyful Burger està protegida per un munt de guàrdies i, encara si aconseguissin arribar a poder parlar amb ell, no es molestaria en escoltar-los i els expulsaria a força de les seves oficines.\nSentin-se fútils, els dos germans es qüestionen com podrien enfrontar-se amb ell i detenir-lo. Llavors, Larry confessa que des de fa molt de temps el volia plantar cara i arrabassar-li el seu poder, però mai ho va fer perquè no tenia coratge per fer-ho.\nNo obstant això, agrega que la voluntat dels dos germans l’ha motivat. Com que ell treballa en el gimnàs de la ciutat, els diu que els podria entrenar per derrotar al seu cap, perquè ha vist que tenen molt de potencial…","(La historia de este juego es una versión alterna del primer episodio de El Maravillosamente Extraño Mundo de Gumball. Para entenderla, es recomendable ver el episodio.)\n\nLa trama del episodio transcurre como la original hasta que Gumball y Darwin tienen la idea de plantar semillas de frutas y verduras en su jardín para conseguir comida.\n\nCuando ya han brotado los alimentos y su búsqueda por encontrar comida parecía ya finalizada, justo aparece Larry y lo incinera todo. Confundidos, los hermanos le cuestionan por qué ha hecho eso, y Larry les dice que su jefe, el Sr. Bilderburger, es propietario de los derechos de las semillas que han plantado.\nEn un brote de ira, Gumball le dice que quiere “hablar” con su jefe, y Darwin se apunta. Larry les advierte que no sería una buena idea hacerlo porque la sede de Joyful Burger está protegida por muchos guardias y, aunque consiguieran llegar a poder hablar con él, no se molestaría en escucharlos y los expulsaría forzosamente de sus oficinas.\nSintiéndose fútiles, los hermanos se cuestionan cómo podrían enfrentarse contra él y detenerlo. Entonces, Larry confiesa que desde hace mucho tiempo él quería plantarle cara y quitarle su poder, pero nunca lo hizo porque no tenía coraje para hacerlo.\nA pesar de eso, agrega que la voluntad de los hermanos lo ha motivado. Como él trabaja en el gimnasio de la ciudad, les dice que los podría entrenar para derrotar a su jefe, porque ha visto que tienen mucho potencial...\n","(The story of this game is an alternate version of the first episode of The Wonderfully Weird World of Gumball. To understand it, it’s recommended to watch it.)\n\nThe plot of the episode goes like the original until Gumball and Darwin have the idea to harvest seeds of fruits and vegetables on their garden to get food.\n\nWhen the food has already sprouted and their research for healthy food seemed to have ended, Larry suddenly appears and burns it all down. Confused, the brothers demand him an explanation, and Larry says that his boss, Mr. Bilderburger, has the rights of the seeds they planted.\nFed up, Gumball tells him that he wants to “talk” with his boss, and Darwin joins him. Larry warns them that it wouldn’t be worth it because Joyful Burger’s HQ is protected to the brim with guards and, even if they managed to be able to talk to him, he wouldn’t bother to listen to them and he’d kick them out.\nFeeling futile, the brothers wonder how they’d be able to face Mr. Bilderburger and stop him. Then, Larry confesses that for a good while he wanted to stand up against him and take away his power, but he’d never do it because he didn’t have the courage to do so.\nHowever, he adds that the brother’s will has motivated him. Since he works in the city’s gym, he tells the brothers that he can train them to stop his boss because he has noticed they have a lot of potential…"
CREDITS_TXT,Sonitr43\n- Programació\n- Idees\n- Art\n- Cançó de la pantalla de selecció de personatges\n- Història\n\n\nPlaytesters:\n- Häzel\n- elegheo\n- Máximo\n- Javichu\n- Celeste\n\n\n~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n\n\nMúsica:\n- Tutorial / Menú de les opcions\n* Friday Night Funkin' - Artistic Expression\n* Kawai Sprite\n\n- Menú de la història / Menú dels crèdits\n* Sonic's Mega Collection - Extras (Remix)\n* Cançó original: Hideaki Kobayashi\n* Remix: ???\n\n- Selector de nivells\n* Vs. Dave and Bambi: Volume 1 - Character Select\n* MoldyGangstaHero\n\n- Nivells 1 i 2\n* Super Mario All Stars - Overworld (Super Mario Bros. 3)\n* Koji Kondo\n\n- Passar-se un nivell\n* Super Mario All Stars - Course Clear (Super Mario Bros. 3)\n* Koji Kondo\n\n- Nivell 3\n* Super Mario All Stars - Athletic (Super Mario Bros. 3)\n* Koji Kondo\n\n- Nivell 3 (sota l'aigua)\n* Super Mario All Stars - Underwater (Super Mario Bros. 3)\n* Koji Kondo\n\n- Pantalla final del joc\n* Sonic 3 [Alternate] - Competition Menu\n* Leila Wilson [Woofle]\n\n\nEfectes de so:\n- Super Mario Bros. 3\n- Undertale\n\n\n~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n\n\nThe Wonderfully Weird World of Gumball és propietat de Hanna-Barbera Studios Europe Ltd.,Sonitr43\n- Programación\n- Ideas\n- Arte\n- Canción de la pantalla de selección de personajes\n- Historia\n\nPlaytesters:\n- Häzel\n- elegheo\n- Máximo\n- Javichu\n- Celeste\n\n\n~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n\n\nMúsica:\n- Tutorial / Menú de opciones\n* Friday Night Funkin' - Artistic Expression\n* Kawai Sprite\n\n- Menú de la historia / Menú de los créditos\n* Sonic's Mega Collection - Extras (Remix)\n* Canción original: Hideaki Kobayashi\n* Remix: ???\n\n- Selector de nivel\n* Vs. Dave and Bambi: Volume 1 - Character Select\n* MoldyGangstaHero\n\n- Niveles 1 y 2\n* Super Mario All Stars - Overworld (Super Mario Bros. 3)\n* Koji Kondo\n\n- Pasarse un nivel\n* Super Mario All Stars - Course Clear (Super Mario Bros. 3)\n* Koji Kondo\n\n- Nivel 3\n* Super Mario All Stars - Athletic (Super Mario Bros. 3)\n* Koji Kondo\n\n- Nivell3 (bajo el agua)\n* Super Mario All Stars - Underwater (Super Mario Bros. 3)\n* Koji Kondo\n\n- Pantalla final del juego\n* Sonic 3 [Alternate] - Competition Menu\n* Leila Wilson [Woofle]\n\n\nEfectos de sonido:\n- Super Mario Bros. 3\n- Undertale\n\n\n~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n\n\nEl Maravillosamente Extraño Mundo de Gumball es propiedad de Hanna-Barbera Studios Europe Ltd.,Sonitr43\n- Coding\n- Ideas\n- Art\n- Character Select menu song\n- Story\n\nPlaytesters:\n- Häzel\n- elegheo\n- Máximo\n- Javichu\n- Celeste\n\n\n~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n\n\nMusic:\n- Tutorial / Options menu\n* Friday Night Funkin' - Artistic Expression\n* Kawai Sprite\n\n- Story menu / Credits menu\n* Sonic's Mega Collection - Extras (Remix)\n* Original song: Hideaki Kobayashi\n* Remix: ???\n\n- Level select\n* Vs. Dave and Bambi: Volume 1 - Character Select\n* MoldyGangstaHero\n\n- Level 1 & 2\n* Super Mario All Stars - Overworld (Super Mario Bros. 3)\n* Koji Kondo\n\n- Level beaten\n* Super Mario All Stars - Course Clear (Super Mario Bros. 3)\n* Koji Kondo\n\n- Level 3\n* Super Mario All Stars - Athletic (Super Mario Bros. 3)\n* Koji Kondo\n\n- Level 3 (underwater)\n* Super Mario All Stars - Underwater (Super Mario Bros. 3)\n* Koji Kondo\n\n- Final screen\n* Sonic 3 [Alternate] - Competition Menu\n* Leila Wilson [Woofle]\n\n\nSound effects:\n- Super Mario Bros. 3\n- Undertale\n\n\n~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n\n\nThe Wonderfully Weird World of Gumball is property of Hanna-Barbera Studios Europe Ltd.
TUTORIAL_EXIT,Estàs segur que vols\nsortir del tutorial?,¿Estás seguro que quieres\nsalir del tutorial?,Are you sure you want\nto exit the tutorial?
